ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,eval_time_perc,total_time
8,10000,7.107557607527322e-130,7.1075576075272845e-130,0.03091740608215332,0.008975744247436523,2,0.22,0.039893150329589844
8,100000,5.202170758114585e-56,5.202170758114585e-56,0.005983829498291016,0.00797891616821289,2,0.57,0.013962745666503906
8,1000000,4.32434331606142e-37,4.316658058200155e-37,0.06781888008117676,0.07579731941223145,2,0.53,0.1436161994934082
8,10000000,4.71656823988498e-16,4.2398243980721447e-16,0.5485334396362305,0.7360320091247559,2,0.57,1.2845654487609863
2,10000,0.8691591363434831,0.23568858158166692,0.04388260841369629,0.007978677749633789,3,0.15,0.05186128616333008
2,100000,0.9745731694189977,0.08831182212598071,0.0019948482513427734,0.002991914749145508,3,0.6,0.004986763000488281
2,1000000,0.9819064477767104,0.02788096684509956,0.013962745666503906,0.03390955924987793,3,0.71,0.047872304916381836
2,10000000,1.0054514033830932,0.008918916982227276,0.1406235694885254,0.29720544815063477,3,0.68,0.43782901763916016
4,10000,0.00048225583088932805,0.0004822558272994035,0.010970830917358398,0.0069811344146728516,3,0.39,0.01795196533203125
4,100000,0.00081226175607436,0.0007956166129280156,0.002991914749145508,0.003989458084106445,3,0.57,0.006981372833251953
4,1000000,0.11819534012815987,0.06199711426107953,0.03390932083129883,0.04488039016723633,3,0.57,0.07878971099853516
4,10000000,0.7606929130848485,0.20356470098632345,0.27526378631591797,0.45179200172424316,3,0.62,0.7270557880401611
6,10000,3.3422045367455893e-34,3.3422045367455863e-34,0.02094411849975586,0.007979393005371094,3,0.28,0.028923511505126953
6,100000,7.531872272753787e-26,7.531868724554242e-26,0.0049855709075927734,0.00598454475402832,3,0.55,0.010970115661621094
6,1000000,5.422804050502557e-13,5.417503890050589e-13,0.04089093208312988,0.06781840324401855,3,0.62,0.10870933532714844
6,10000000,0.07366854804995897,0.07114685227214279,0.4168851375579834,0.5924160480499268,3,0.59,1.0093011856079102
8,10000,4.53585796006371e-171,0.0,0.03091716766357422,0.009973764419555664,3,0.24,0.04089093208312988
8,100000,3.691247745614325e-60,3.682559765622995e-60,0.0069811344146728516,0.007978677749633789,3,0.53,0.01495981216430664
8,1000000,1.9097929754058174e-52,1.5256088166799116e-52,0.05485343933105469,0.07380270957946777,3,0.57,0.12865614891052246
8,10000000,8.253321419240644e-16,7.892957747213771e-16,0.5425493717193604,0.7699413299560547,3,0.59,1.312490701675415
2,10000,0.9515436018091478,0.2734508417312734,0.04587721824645996,0.00797891616821289,4,0.15,0.05385613441467285
2,100000,0.8964298936613424,0.08059088521920522,0.001994609832763672,0.003989219665527344,4,0.67,0.005983829498291016
2,1000000,1.0188948531243234,0.02851764555258213,0.016954660415649414,0.03690195083618164,4,0.69,0.053856611251831055
2,10000000,0.9896670674609075,0.008915402504106417,0.13962602615356445,0.29920005798339844,4,0.68,0.4388260841369629
4,10000,7.306341803614943e-14,4.3513565122127966e-14,0.010970830917358398,0.006981611251831055,4,0.39,0.017952442169189453
4,100000,0.07610833686726146,0.0760642420108298,0.0029916763305664062,0.00498652458190918,4,0.63,0.007978200912475586
4,1000000,0.44664231931803283,0.27184670345794015,0.03390932083129883,0.04587745666503906,4,0.58,0.07978677749633789
4,10000000,1.5231396764771297,0.33943093134363056,0.27227187156677246,0.4438135623931885,4,0.62,0.7160854339599609
